,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
0,-4.419957855818148,1.346995583419767,0.21254330106566022,-1.6522407756033857
1,0.05808590374488271,0.20022501336387533,-0.4413471007644752,-0.14547228994629965
2,-5.22445475087939,-2.612203983682529,1.2487642751569252,4.332195159940507
3,2.3100401096338534,-3.501150777546792,-3.402244365642864,5.126943745683894
4,1.2108193920336834,3.892206918630255,-1.1235953905165355,-5.921077179809183
5,1.1328685427565521,-5.41589372026986,1.6108864815172443,1.8709689103019305
6,4.594697697315294,-1.8030525279662462,-0.04378514759867612,-3.3550208458398156
7,3.5542981741774073,-2.525660658553549,3.5876554955470144,-5.774417152356105
8,-1.1882675440622328,1.2980975596777622,-3.566343036002767,2.5636833420376437
9,-1.3477375365982902,2.001529053745242,-3.957967171212696,2.540121964816772
10,-1.6415821165623607,3.004336308082453,-0.9092949807608879,-1.7755458290420458
11,-1.1000207252784966,0.28465884406959563,0.06441492743784599,-0.46830291261825935
12,5.170646589341936,-3.0686313812887525,-1.646543450338444,0.03433372230617688
13,-1.832396185096428,-1.78425990205819,3.9725601048842716,-3.109760444455177
